Log file open, 04/16/15 09:57:32
LogInit:Display: Running engine for game: VehicleGame
LogInit: Version: 4.7.5-2503383+++depot+UE4-Releases+4.7
LogInit: API Version: 2455222
LogInit: Compiled (64-bit): Apr  6 2015 23:21:51
[2015.04.16-14.01.20:717][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_54 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:720][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_62 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:723][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_64 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:724][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_7 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:726][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_76 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:728][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_78 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:729][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_9 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:745][  0]MapCheck: Info VG_Bridge_01B_3 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:754][  0]MapCheck: Info VG_Bridge_01B_4 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.25:255][  0]LogEditorServer: Finished looking for orphan Actors (0.001 secs)
[2015.04.16-14.01.32:072][  0]LogAIModule: Creating AISystem for world DesertRallyRace
[2015.04.16-14.01.32:078][  0]Cmd: MAP CHECKDEP
[2015.04.16-14.01.32:079][  0]MapCheck: New page: DesertRallyRace - Apr 16, 2015, 6:01:32 AM
[2015.04.16-14.01.32:919][  0]MapCheck: Info Map check complete: 0 Error(s), 0 Warning(s), took 840.019ms to complete.
[2015.04.16-14.01.32:919][  0]LogFileHelpers: Loading map 'DesertRallyRace' took 127.485
[2015.04.16-14.01.33:734][  0]LogStats:Warning: MetaData mismatch. Did you assign a stat to two groups? New //STATGROUP_Threads//SplashScreenThread///Thread_13e4_0///////STATCAT_Advanced//// old //STATGROUP_Threads//SplashScreenThread///Thread_19d8_0///////STATCAT_Advanced////
[2015.04.16-14.01.33:734][  0]LogCollectionManager: Loaded 0 collections in 0.004151 seconds
[2015.04.16-14.01.33:789][  0]LogContentBrowser: Native class hierarchy populated in 0.0555 seconds. Added 1716 classes and 274 folders.
[2015.04.16-14.01.33:967][  0]LogContentBrowser: Native class hierarchy updated for 'SceneOutliner' in 0.0466 seconds. Added 1 classes and 2 folders.
[2015.04.16-14.01.34:369][  0]LogCrashTracker: Crashtracker disabled due to settings.
[2015.04.16-14.01.34:373][  0]LogSlate:Warning: Failed to load font data from 'Veranda'
[2015.04.16-14.01.34:454][  0]LogUObjectGlobals:Warning: Failed to find object 'Class None.'
[2015.04.16-14.01.34:541][  0]LogLoad: Full Startup: 248.28 seconds (BP compile: 1.55 seconds)
[2015.04.16-14.01.36:064][  0]LogRenderer:Warning: Reallocating scene render targets to support 816x400 (Frame:2).
[2015.04.16-14.01.36:424][  1]Cmd: UpdateLandscapeEditorData -warnings
[2015.04.16-14.01.36:476][  1]Cmd: UpdateLandscapeEditorData
[2015.04.16-14.01.40:838][ 40]LogAssetRegistry: Asset discovery search completed in 206.5279 seconds
[2015.04.16-14.26.19:913][472]LogContentBrowser:Verbose: The content browser source was changed by the sources view to '/Classes_Game'
[2015.04.16-14.26.22:256][498]LogContentBrowser:Verbose: The content browser source was changed by the sources view to '/Classes_Game/VehicleGame'
[2015.04.16-14.26.23:439][520]LogContentBrowser:Verbose: The content browser source was changed by the sources view to '/Classes_Game/VehicleGame/Classes'
[2015.04.16-14.26.56:058][ 40]LogContentBrowser:Verbose: The content browser source was changed by the sources view to '/Classes_Game/VehicleGame/Private'
[2015.04.16-14.26.57:158][ 56]LogContentBrowser:Verbose: The content browser source was changed by the sources view to '/Classes_Game/VehicleGame/Private/UI'
[2015.04.16-14.26.58:108][ 73]LogContentBrowser:Verbose: The content browser source was changed by the sources view to '/Classes_Game/VehicleGame/Private/UI/Style'
[2015.04.16-15.19.38:936][ 72]LogActorComponent: UnregisterComponent: (/Engine/Transient.MovementComp) Not registered. Aborting.
[2015.04.16-15.19.39:026][ 72]LogParticles: Destroying 0 GPU particle simulations for FXSystem 0x000000000FEDCC20
[2015.04.16-15.19.39:606][ 73]Cmd: QUIT_EDITOR
[2015.04.16-15.19.40:021][ 73]LogExit: Preparing to exit.
[2015.04.16-15.19.40:601][ 73]LogExit: Editor shut down
[2015.04.16-15.19.40:602][ 73]LogExit: Transaction tracking system shut down
[2015.04.16-15.19.40:609][ 73]LogParticles: Destroying 0 GPU particle simulations for FXSystem 0x000000002D8E09A0
[2015.04.16-15.19.40:720][ 73]LogParticles: Destroying 0 GPU particle simulations for FXSystem 0x0000000013237560
[2015.04.16-15.19.40:721][ 73]LogParticles: Destroying 0 GPU particle simulations for FXSystem 0x0000000065224F40
[2015.04.16-15.19.41:181][ 73]LogExit: Object subsystem successfully closed.
[2015.04.16-15.19.41:276][ 73]LogModuleManager: Shutting down and abandoning module CrashTracker (179)
[2015.04.16-15.19.41:276][ 73]LogModuleManager: Shutting down and abandoning module SuperSearch (178)
[2015.04.16-15.19.41:276][ 73]LogModuleManager: Shutting down and abandoning module SceneOutliner (177)
[2015.04.16-15.19.41:276][ 73]LogModuleManager: Shutting down and abandoning module EditorWidgets (176)
[2015.04.16-15.19.41:276][ 73]LogModuleManager: Shutting down and abandoning module CollectionManager (175)
[2015.04.16-15.19.41:276][ 73]LogModuleManager: Shutting down and abandoning module StatsViewer (174)
[2015.04.16-15.19.41:277][ 73]LogModuleManager: Shutting down and abandoning module FoliageEdit (173)
[2015.04.16-15.19.41:277][ 73]LogModuleManager: Shutting down and abandoning module LandscapeEditor (172)
[2015.04.16-15.19.41:277][ 73]LogModuleManager: Shutting down and abandoning module MeshPaint (171)
[2015.04.16-15.19.41:277][ 73]LogModuleManager: Shutting down and abandoning module ActorPickerMode (170)
[2015.04.16-15.19.41:277][ 73]LogModuleManager: Shutting down and abandoning module GeometryMode (169)
[2015.04.16-15.19.41:277][ 73]LogModuleManager: Shutting down and abandoning module TextureAlignMode (168)
[2015.04.16-15.19.41:277][ 73]LogModuleManager: Shutting down and abandoning module BspMode (167)
[2015.04.16-15.19.41:277][ 73]LogModuleManager: Shutting down and abandoning module PlacementMode (166)
[2015.04.16-15.19.41:277][ 73]LogModuleManager: Shutting down and abandoning module AutomationWorker (165)
[2015.04.16-15.19.41:277][ 73]LogModuleManager: Shutting down and abandoning module CharacterAI (164)
[2015.04.16-15.19.41:277][ 73]LogModuleManager: Shutting down and abandoning module SmartSnapping (163)
[2015.04.16-15.19.41:277][ 73]LogModuleManager: Shutting down and abandoning module ViewportSnapping (162)
[2015.04.16-15.19.41:277][ 73]LogModuleManager: Shutting down and abandoning module LogVisualizer (161)
[2015.04.16-15.19.41:278][ 73]LogModuleManager: Shutting down and abandoning module GameProjectGeneration (160)
[2015.04.16-15.19.41:278][ 73]LogModuleManager: Shutting down and abandoning module IntroTutorials (159)
[2015.04.16-15.19.41:279][ 73]LogModuleManager: Shutting down and abandoning module EditorLiveStreaming (158)
[2015.04.16-15.19.41:279][ 73]LogModuleManager: Shutting down and abandoning module HardwareTargeting (157)
[2015.04.16-15.19.41:279][ 73]LogModuleManager: Shutting down and abandoning module DeviceProfileEditor (156)
[2015.04.16-15.19.41:279][ 73]LogModuleManager: Shutting down and abandoning module UndoHistory (155)
[2015.04.16-15.19.41:279][ 73]LogModuleManager: Shutting down and abandoning module GameplayTagsEditor (154)
[2015.04.16-15.19.41:279][ 73]LogModuleManager: Shutting down and abandoning module UserFeedback (153)
[2015.04.16-15.19.41:279][ 73]LogModuleManager: Shutting down and abandoning module XmlParser (152)
[2015.04.16-15.19.41:279][ 73]LogModuleManager: Shutting down and abandoning module Blutility (151)
[2015.04.16-15.19.41:279][ 73]LogModuleManager: Shutting down and abandoning module IOSPlatformEditor (150)
[2015.04.16-15.19.41:279][ 73]LogModuleManager: Shutting down and abandoning module IOSRuntimeSettings (149)
[2015.04.16-15.19.41:279][ 73]LogModuleManager: Shutting down and abandoning module AndroidDeviceDetection (148)
[2015.04.16-15.19.41:796][ 73]LogModuleManager: Shutting down and abandoning module AndroidPlatformEditor (147)
[2015.04.16-15.19.41:796][ 73]LogModuleManager: Shutting down and abandoning module AndroidRuntimeSettings (146)
[2015.04.16-15.19.41:796][ 73]LogModuleManager: Shutting down and abandoning module ProjectTargetPlatformEditor (145)
[2015.04.16-15.19.41:796][ 73]LogModuleManager: Shutting down and abandoning module ProjectSettingsViewer (144)
[2015.04.16-15.19.41:796][ 73]LogModuleManager: Shutting down and abandoning module InputBindingEditor (143)
[2015.04.16-15.19.41:796][ 73]LogModuleManager: Shutting down and abandoning module EditorSettingsViewer (142)
[2015.04.16-15.19.41:796][ 73]LogModuleManager: Shutting down and abandoning module SettingsEditor (141)
[2015.04.16-15.19.41:796][ 73]LogModuleManager: Shutting down and abandoning module ProjectLauncher (140)
[2015.04.16-15.19.41:796][ 73]LogModuleManager: Shutting down and abandoning module SessionFrontend (139)
[2015.04.16-15.19.41:796][ 73]LogModuleManager: Shutting down and abandoning module ProfilerClient (138)
[2015.04.16-15.19.41:796][ 73]LogModuleManager: Shutting down and abandoning module TargetDeviceServices (137)
[2015.04.16-15.19.41:797][ 73]LogModuleManager: Shutting down and abandoning module DeviceManager (136)
[2015.04.16-15.19.41:797][ 73]LogModuleManager: Shutting down and abandoning module AutomationController (135)
[2015.04.16-15.19.41:797][ 73]LogModuleManager: Shutting down and abandoning module AutomationWindow (134)
[2015.04.16-15.19.41:797][ 73]LogModuleManager: Shutting down and abandoning module Layers (133)
[2015.04.16-15.19.41:797][ 73]LogModuleManager: Shutting down and abandoning module ComponentVisualizers (132)
[2015.04.16-15.19.41:797][ 73]LogModuleManager: Shutting down and abandoning module DetailCustomizations (131)
[2015.04.16-15.19.41:797][ 73]LogModuleManager: Shutting down and abandoning module PackagesDialog (130)
[2015.04.16-15.19.41:797][ 73]LogModuleManager: Shutting down and abandoning module Persona (129)
[2015.04.16-15.19.41:797][ 73]LogModuleManager: Shutting down and abandoning module SlateReflector (128)
[2015.04.16-15.19.41:797][ 73]LogModuleManager: Shutting down and abandoning module LevelEditor (127)
[2015.04.16-15.19.41:798][ 73]LogModuleManager: Shutting down and abandoning module Kismet (126)
[2015.04.16-15.19.41:798][ 73]LogModuleManager: Shutting down and abandoning module GraphEditor (125)
[2015.04.16-15.19.41:798][ 73]LogModuleManager: Shutting down and abandoning module ClassViewer (124)
[2015.04.16-15.19.41:798][ 73]LogModuleManager: Shutting down and abandoning module Toolbox (123)
[2015.04.16-15.19.41:798][ 73]LogModuleManager: Shutting down and abandoning module ModuleUI (122)
[2015.04.16-15.19.41:798][ 73]LogModuleManager: Shutting down and abandoning module MovieSceneTools (121)
[2015.04.16-15.19.41:798][ 73]LogModuleManager: Shutting down and abandoning module OutputLog (120)
[2015.04.16-15.19.41:798][ 73]LogModuleManager: Shutting down and abandoning module GammaUI (119)
[2015.04.16-15.19.41:798][ 73]LogModuleManager: Shutting down and abandoning module Documentation (118)
[2015.04.16-15.19.41:798][ 73]LogModuleManager: Shutting down and abandoning module GameLiveStreaming (117)
[2015.04.16-15.19.41:798][ 73]LogModuleManager: Shutting down and abandoning module StreamingPauseRendering (116)
[2015.04.16-15.19.41:798][ 73]LogModuleManager: Shutting down and abandoning module HTTP (115)
[2015.04.16-15.19.41:798][ 73]LogModuleManager: Shutting down and abandoning module AnalyticsET (114)
[2015.04.16-15.19.41:799][ 73]LogModuleManager: Shutting down and abandoning module Analytics (113)
[2015.04.16-15.19.41:799][ 73]LogModuleManager: Shutting down and abandoning module AITestSuite (112)
[2015.04.16-15.19.41:799][ 73]LogModuleManager: Shutting down and abandoning module GameplayDebugger (111)
[2015.04.16-15.19.41:799][ 73]LogModuleManager: Shutting down and abandoning module AIModule (110)
[2015.04.16-15.19.41:799][ 73]LogModuleManager: Shutting down and abandoning module ProfilerService (109)
[2015.04.16-15.19.41:960][ 73]LogModuleManager: Shutting down and abandoning module TaskGraph (108)
[2015.04.16-15.19.41:960][ 73]LogModuleManager: Shutting down and abandoning module SlateRemote (107)
[2015.04.16-15.19.41:960][ 73]LogModuleManager: Shutting down and abandoning module ScriptEditorPlugin (106)
[2015.04.16-15.19.41:960][ 73]LogModuleManager: Shutting down and abandoning module CustomMeshComponent (105)
[2015.04.16-15.19.41:960][ 73]LogModuleManager: Shutting down and abandoning module CableComponent (104)
[2015.04.16-15.19.41:961][ 73]LogModuleManager: Shutting down and abandoning module MessagingDebugger (103)
[2015.04.16-15.19.41:961][ 73]LogModuleManager: Shutting down and abandoning module MediaPlayerEditor (102)
[2015.04.16-15.19.41:961][ 73]LogModuleManager: Shutting down and abandoning module SpeedTreeImporter (101)
[2015.04.16-15.19.41:961][ 73]LogModuleManager: Shutting down and abandoning module PluginsEditor (100)
[2015.04.16-15.19.41:961][ 73]LogModuleManager: Shutting down and abandoning module MainFrame (99)
[2015.04.16-15.19.41:961][ 73]LogModuleManager: Shutting down and abandoning module EpicSurvey (98)
[2015.04.16-15.19.41:961][ 73]LogModuleManager: Shutting down and abandoning module DesktopPlatform (97)
[2015.04.16-15.19.41:961][ 73]LogModuleManager: Shutting down and abandoning module HotReload (96)
[2015.04.16-15.19.41:962][ 73]LogModuleManager: Shutting down and abandoning module VisualStudioSourceCodeAccess (95)
[2015.04.16-15.19.41:962][ 73]LogModuleManager: Shutting down and abandoning module UObjectPlugin (94)
[2015.04.16-15.19.41:962][ 73]LogModuleManager: Shutting down and abandoning module SubversionSourceControl (93)
[2015.04.16-15.19.41:962][ 73]LogModuleManager: Shutting down and abandoning module PerforceSourceControl (92)
[2015.04.16-15.19.41:962][ 73]LogModuleManager: Shutting down and abandoning module SourceControl (91)
[2015.04.16-15.19.41:962][ 73]LogModuleManager: Shutting down and abandoning module GitSourceControl (90)
[2015.04.16-15.19.41:963][ 73]LogModuleManager: Shutting down and abandoning module BlankPlugin (89)
[2015.04.16-15.19.41:963][ 73]LogModuleManager: Shutting down and abandoning module PaperTiledImporter (88)
[2015.04.16-15.19.41:963][ 73]LogModuleManager: Shutting down and abandoning module PaperJsonImporter (87)
[2015.04.16-15.19.41:963][ 73]LogModuleManager: Shutting down and abandoning module ContentBrowser (86)
[2015.04.16-15.19.41:965][ 73]LogModuleManager: Shutting down and abandoning module Paper2DEditor (85)
[2015.04.16-15.19.41:965][ 73]LogModuleManager: Shutting down and abandoning module DirectoryWatcher (84)
[2015.04.16-15.19.41:967][ 73]LogModuleManager: Shutting down and abandoning module AssetRegistry (83)
[2015.04.16-15.19.42:119][ 73]LogModuleManager: Shutting down and abandoning module VehicleGame (82)
[2015.04.16-15.19.42:119][ 73]LogModuleManager: Shutting down and abandoning module ScriptPlugin (81)
[2015.04.16-15.19.42:119][ 73]LogModuleManager: Shutting down and abandoning module UdpMessaging (80)
[2015.04.16-15.19.42:219][ 73]LogModuleManager: Shutting down and abandoning module Paper2D (79)
[2015.04.16-15.19.42:219][ 73]LogModuleManager: Shutting down and abandoning module WindowsMoviePlayer (78)
[2015.04.16-15.19.42:233][ 73]LogModuleManager: Shutting down and abandoning module Media (77)
[2015.04.16-15.19.42:233][ 73]LogModuleManager: Shutting down and abandoning module WmfMedia (76)
[2015.04.16-15.19.42:266][ 73]LogModuleManager: Shutting down and abandoning module VehicleGameLoadingScreen (75)
[2015.04.16-15.19.42:266][ 73]LogModuleManager: Shutting down and abandoning module OnlineBlueprintSupport (74)
[2015.04.16-15.19.42:266][ 73]LogModuleManager: Shutting down and abandoning module PropertyEditor (73)
[2015.04.16-15.19.42:266][ 73]LogModuleManager: Shutting down and abandoning module BehaviorTreeEditor (72)
[2015.04.16-15.19.42:266][ 73]LogModuleManager: Shutting down and abandoning module FunctionalTesting (71)
[2015.04.16-15.19.42:266][ 73]LogModuleManager: Shutting down and abandoning module CollisionAnalyzer (70)
[2015.04.16-15.19.42:266][ 73]LogModuleManager: Shutting down and abandoning module WorkspaceMenuStructure (69)
[2015.04.16-15.19.42:266][ 73]LogModuleManager: Shutting down and abandoning module MessageLog (68)
[2015.04.16-15.19.42:267][ 73]LogModuleManager: Shutting down and abandoning module Sequencer (67)
[2015.04.16-15.19.42:267][ 73]LogModuleManager: Shutting down and abandoning module AssetTools (66)
[2015.04.16-15.19.42:267][ 73]LogModuleManager: Shutting down and abandoning module UMGEditor (65)
[2015.04.16-15.19.42:267][ 73]LogModuleManager: Shutting down and abandoning module UMG (64)
[2015.04.16-15.19.42:267][ 73]LogModuleManager: Shutting down and abandoning module Slate (63)
[2015.04.16-15.19.42:267][ 73]LogModuleManager: Shutting down and abandoning module EditorStyle (62)
[2015.04.16-15.19.42:281][ 73]LogModuleManager: Shutting down and abandoning module SessionServices (61)
[2015.04.16-15.19.42:282][ 73]LogModuleManager: Shutting down and abandoning module SourceCodeAccess (60)
[2015.04.16-15.19.42:282][ 73]LogModuleManager: Shutting down and abandoning module HeadMountedDisplay (59)
[2015.04.16-15.19.42:282][ 73]LogModuleManager: Shutting down and abandoning module XAudio2 (58)
[2015.04.16-15.19.42:282][ 73]LogModuleManager: Shutting down and abandoning module Networking (56)
[2015.04.16-15.19.42:282][ 73]LogModuleManager: Shutting down and abandoning module Core (55)
[2015.04.16-15.19.42:282][ 73]LogModuleManager: Shutting down and abandoning module KismetCompiler (54)
[2015.04.16-15.19.42:282][ 73]LogModuleManager: Shutting down and abandoning module PhysXFormats (53)
[2015.04.16-15.19.42:282][ 73]LogModuleManager: Shutting down and abandoning module MeshUtilities (52)
[2015.04.16-15.19.42:282][ 73]LogModuleManager: Shutting down and abandoning module DerivedDataCache (51)
[2015.04.16-15.19.42:355][ 73]LogDerivedDataCache: Shutdown
[2015.04.16-15.19.42:355][ 73]LogModuleManager: Shutting down and abandoning module ShaderFormatOpenGL (50)
[2015.04.16-15.19.42:355][ 73]LogModuleManager: Shutting down and abandoning module ShaderFormatD3D (49)
[2015.04.16-15.19.42:355][ 73]LogModuleManager: Shutting down and abandoning module MetalShaderFormat (48)
[2015.04.16-15.19.42:355][ 73]LogModuleManager: Shutting down and abandoning module TextureFormatUncompressed (47)
[2015.04.16-15.19.42:355][ 73]LogModuleManager: Shutting down and abandoning module TextureFormatPVR (46)
[2015.04.16-15.19.42:355][ 73]LogModuleManager: Shutting down and abandoning module TextureFormatIntelISPCTexComp (45)
[2015.04.16-15.19.42:355][ 73]LogModuleManager: Shutting down and abandoning module TextureFormatDXT (44)
[2015.04.16-15.19.42:355][ 73]LogModuleManager: Shutting down and abandoning module ImageWrapper (43)
[2015.04.16-15.19.42:356][ 73]LogModuleManager: Shutting down and abandoning module TextureFormatASTC (42)
[2015.04.16-15.19.42:356][ 73]LogModuleManager: Shutting down and abandoning module TextureFormatAndroid (41)
[2015.04.16-15.19.42:356][ 73]LogModuleManager: Shutting down and abandoning module AudioFormatOpus (40)
[2015.04.16-15.19.42:356][ 73]LogModuleManager: Shutting down and abandoning module AudioFormatOgg (39)
[2015.04.16-15.19.42:356][ 73]LogModuleManager: Shutting down and abandoning module AudioFormatADPCM (38)
[2015.04.16-15.19.42:356][ 73]LogModuleManager: Shutting down and abandoning module LinuxTargetPlatform (37)
[2015.04.16-15.19.42:356][ 73]LogModuleManager: Shutting down and abandoning module LinuxServerTargetPlatform (36)
[2015.04.16-15.19.42:356][ 73]LogModuleManager: Shutting down and abandoning module LinuxNoEditorTargetPlatform (35)
[2015.04.16-15.19.42:356][ 73]LogModuleManager: Shutting down and abandoning module Messaging (34)
[2015.04.16-15.19.42:356][ 73]LogModuleManager: Shutting down and abandoning module IOSTargetPlatform (33)
[2015.04.16-15.19.42:356][ 73]LogModuleManager: Shutting down and abandoning module HTML5TargetPlatform (32)
[2015.04.16-15.19.42:356][ 73]LogModuleManager: Shutting down and abandoning module Android_PVRTCTargetPlatform (31)
[2015.04.16-15.19.42:356][ 73]LogModuleManager: Shutting down and abandoning module Android_ETC2TargetPlatform (30)
[2015.04.16-15.19.42:356][ 73]LogModuleManager: Shutting down and abandoning module Android_ETC1TargetPlatform (29)
[2015.04.16-15.19.42:357][ 73]LogModuleManager: Shutting down and abandoning module Android_ES31TargetPlatform (28)
[2015.04.16-15.19.42:357][ 73]LogModuleManager: Shutting down and abandoning module Android_DXTTargetPlatform (27)
[2015.04.16-15.19.42:357][ 73]LogModuleManager: Shutting down and abandoning module Android_ATCTargetPlatform (26)
[2015.04.16-15.19.42:357][ 73]LogModuleManager: Shutting down and abandoning module AndroidTargetPlatform (25)
[2015.04.16-15.19.42:357][ 73]LogModuleManager: Shutting down and abandoning module WindowsTargetPlatform (24)
[2015.04.16-15.19.42:357][ 73]LogModuleManager: Shutting down and abandoning module WindowsServerTargetPlatform (23)
[2015.04.16-15.19.42:357][ 73]LogModuleManager: Shutting down and abandoning module WindowsNoEditorTargetPlatform (22)
[2015.04.16-15.19.42:357][ 73]LogModuleManager: Shutting down and abandoning module WindowsClientTargetPlatform (21)
[2015.04.16-15.19.42:357][ 73]LogModuleManager: Shutting down and abandoning module TargetPlatform (20)
[2015.04.16-15.19.42:357][ 73]LogModuleManager: Shutting down and abandoning module InputCore (19)
[2015.04.16-15.19.42:357][ 73]LogModuleManager: Shutting down and abandoning module Settings (18)
[2015.04.16-15.19.42:357][ 73]LogModuleManager: Shutting down and abandoning module OnlineSubsystem (16)
[2015.04.16-15.19.42:357][ 73]LogModuleManager: Shutting down and abandoning module OculusRift (15)
[2015.04.16-15.19.42:357][ 73]LogModuleManager: Shutting down and abandoning module ExampleDeviceProfileSelector (14)
[2015.04.16-15.19.42:357][ 73]LogModuleManager: Shutting down and abandoning module TextureCompressor (13)
[2015.04.16-15.19.42:357][ 73]LogModuleManager: Shutting down and abandoning module ShaderCore (12)
[2015.04.16-15.19.42:357][ 73]LogModuleManager: Shutting down and abandoning module Landscape (11)
[2015.04.16-15.19.42:358][ 73]LogModuleManager: Shutting down and abandoning module SlateRHIRenderer (10)
[2015.04.16-15.19.42:364][ 73]LogModuleManager: Shutting down and abandoning module OpenGLDrv (9)
[2015.04.16-15.19.42:364][ 73]LogModuleManager: Shutting down and abandoning module D3D11RHI (8)
[2015.04.16-15.19.42:364][ 73]LogModuleManager: Shutting down and abandoning module Renderer (7)
[2015.04.16-15.19.42:364][ 73]LogModuleManager: Shutting down and abandoning module Engine (6)
[2015.04.16-15.19.42:364][ 73]LogModuleManager: Shutting down and abandoning module CoreUObject (5)
[2015.04.16-15.19.42:364][ 73]LogModuleManager: Shutting down and abandoning module NetworkFile (4)
[2015.04.16-15.19.42:364][ 73]LogModuleManager: Shutting down and abandoning module StreamingFile (3)
[2015.04.16-15.19.42:364][ 73]LogModuleManager: Shutting down and abandoning module SandboxFile (2)
[2015.04.16-15.19.42:364][ 73]LogModuleManager: Shutting down and abandoning module PakFile (1)
[2015.04.16-15.19.42:365][ 73]LogExit: Exiting.
[2015.04.16-15.19.42:424][ 73]Log file closed, 04/16/15 11:19:42
